ID,Easting,Northing,Catchment,Type,Risk,River,Reservoir,Description,VisitBy,Comments,SpotMon,ContMon,Spot,Spot_params,Sonde,Sonde_params,Pump,Pump_params,Stage,Flow,Permission,Ownership,Comments_2
96,260721,69721,Burrator Reservoir,Scheme,DOC,Devonport Leat,NA,Nuns Cross Farm tunnel entrance,ALL,,3,3,Yes,"DOC, TOC, Colour, turbidity, pH, Nitrate,  Phosphate",Yes,"FDOM, pH, turbidity, T, conductivity, DO",Yes,"DOC, TOC, Colour, turbidity, pH, Nitrate,  Phosphate",Yes,Yes,,,
97,255239,68375,Burrator Reservoir,Scheme,DOC,NA,Burrator,Near Jetty on west side of reservoir,TBV,,3,3,Yes,"DOC, TOC, Colour, turbidity, pH, Nitrate,  Phosphate",Yes,"Chlorophyll, Phycocyanin, FDOM, pH, turbidity, T, conductivity, DO",No,NA,Maybe,No,,SWLT,
98,267045,65851,Avon Dam Reservoir,Investigation,"Geosmin, MIB",Avon,NA,River just upstream of reservoir,"NG, EGC, PB","Straight section, though bank overflow and some loose bed",3,3,Yes,"Nitrate, ammonia, phosphate, DOC, colour, geosmin, chlorophyll ",Yes,"pH, Temperature, Conductivity, Turbidity, FDOM, DO",Yes,"Nitrate, ammonia, phosphate, DOC, colour, geosmin",Yes,Yes,,SWW,Pump when ability to monitor Geosmin comes online
99,267880,65548,Avon Dam Reservoir,Investigation,"Geosmin, MIB",Brockwell Stream/Brook,NA,Brockwell Stream/Brook,"NG, EGC, PB","Straight-ish steep-sided section, not too turbulent",3,1,Yes,"Nitrate, ammonia, phosphate, DOC, colour, geosmin, chlorophyll ",Rover,"pH, Temperature, Conductivity, Turbidity, FDOM, Chlorophyll, Phycocianin, DO",No,NA,Yes,No,,NA,
100,266400,66200,Avon Dam Reservoir,Investigation,"Geosmin, MIB",Western Wella Brook,NA,Western Wella Brook,"NG, EGC, PB",Spot sample location,3,0,Yes,"Nitrate, ammonia, phosphate, DOC, colour, geosmin, chlorophyll ",Rover,"pH, Temperature, Conductivity, Turbidity, FDOM, Chlorophyll, Phycocianin, DO",No,NA,No,No,,NA,
101,267940,65260,Avon Dam Reservoir,Investigation,"Geosmin, MIB",NA,Avon,Avon Reservoir surface,"NG, EGC, PB",Spot sample location,3,0,Yes,"Nitrate, ammonia, phosphate, DOC, colour, geosmin, chlorophyll ",Rover,"pH, Temperature, Conductivity, Turbidity, FDOM, Chlorophyll, Phycocianin, DO",No,NA,No,No,,SWW ,
102,256025,89867,Meldon Reservoir,Investigation,"DOC, TOC, Manganese",West Okement River,NA,SWW abstration point from weir,"DL, NG, PB",Monitoring location,3,3,Yes,"DOC, colour, TOC, Mn",Yes,"pH, Temperature, Conductivity, Turbidity, FDOM, DO",Yes,"DOC, colour, TOC and Mn",Yes,No,Got,SWW,Mn using geog ICP-OES or greenpeace ICP-MS tbd
103,256316,91540,Meldon Reservoir,Investigation,"DOC, TOC, Manganese",NA,Meldon,Meldon reservoir from dam,"DL, NG, PB",Spot sample,3,0,Yes,"DOC, colour, TOC, Mn",Rover,"pH, Temperature, Conductivity, Turbidity, FDOM, Phycocyanin, Chlorophyll, DO",No,NA,No,No,Got,SWW,
104,264925,141787,Wistlandpound Reservoir,Scheme,"Blue-green algae, geosmin, MIB",Unnamed Trib,NA,,"EGC, DL, AR",,3,3,Yes,,Yes,"pH, Temperature, Conductivity, Turbidity, FDOM,DO",Yes,,Yes,Yes,,,
105,264906,142175,Wistlandpound Reservoir,Scheme,"Blue-green algae, geosmin, MIB",Unnamed Trib,NA,,"EGC, DL, AR",,3,3,Yes,,Yes,"pH, Temperature, Conductivity, Turbidity, FDOM,DO",Yes,,Yes,Yes,,,
106,264290,141570,Wistlandpound Reservoir,Scheme,"Blue-green algae, geosmin, MIB",NA,Wistlandpound,In Wistlandpound Reservoir,"EGC, DL, AR",3 sondes deployed at 3 depths,3,3,Yes,,Yes,"pH, Temperature, Conductivity, Turbidity, Chlorophyll, Phycocianin, DO",No,,No,No,,,
107,267739,139911,Wistlandpound Reservoir,Scheme,"Blue-green algae, geosmin, MIB",River Bray,NA,Flume and monitoring station,TBV,EA monitoring site,3,3,Yes,,Yes,"pH, Temperature, Conductivity, Turbidity, FDOM,DO",Yes,,Yes,Yes,,,
108,242330,90631,Roadford,Scheme,"Geosmin, MIB",NA,Roadford,In Roadford Reservoir,EGC,,3,,Yes,,Yes,"pH, Temperature, Conductivity, Turbidity, Chlorophyll, Phycocianin, DO",No,NA,No,No,,,
109,171460,36320,Stithians,Scheme,"Blue-green algae, geosmin, ammonium, colour, DOC, turbidity",NA,Stithians,In Stithians Reservoir,EGC,,3,3,Yes,"DOC, colour, Nutrients, [Geosmin/MIB]",Yes,"pH, Temperature, Conductivity, DO, Turbidity, Chlorophyll, Phycocianin, FDOM",No,NA,No,No,,,
110,170870,37238,Stithians,Scheme,"Blue-green algae, geosmin, ammonium, colour, DOC, turbidity",Unnamed Trib,NA,Unnamed Trib,EGC,,3,1,Yes,"DOC, colour, Nutrients, [Geosmin/MIB]",Rover,"pH, Temperature, Conductivity, DO, Turbidity, Chlorophyll, Phycocianin, FDOM",No,NA,Yes,No,,,Stage to get an idea of flashiness
111,170975,35237,Stithians,Scheme,"Blue-green algae, geosmin, ammonium, colour, DOC, turbidity",Unnamed Trib,NA,Unnamed Trib,EGC,,3,1,Yes,"DOC, colour, Nutrients, [Geosmin/MIB]",Rover,"pH, Temperature, Conductivity, DO, Turbidity, Chlorophyll, Phycocianin, FDOM",No,NA,No,No,,,
112,170906,36002,Stithians,Scheme,"Blue-green algae, geosmin, ammonium, colour, DOC, turbidity",Unnamed Trib,NA,Unnamed Trib,EGC,,3,1,Yes,"DOC, colour, Nutrients, [Geosmin/MIB]",Rover,"pH, Temperature, Conductivity, DO, Turbidity, Chlorophyll, Phycocianin, FDOM",No,NA,No,No,,,
